,user,text,favorite_count,retweet_coutn,created_at 
0,elonmusk,@danzwku @ID_AA_Carmack Absolutely,402,39,2022-10-30 03:39:17+00:00
1,elonmusk,@ID_AA_Carmack d(he)ll,425,35,2022-10-30 03:36:16+00:00
2,elonmusk,@WholeMarsBlog @karpathy Andrej will always be welcome at Tesla,10604,583,2022-10-30 01:37:23+00:00
3,elonmusk,@lexfridman 🤣,19184,451,2022-10-29 18:14:45+00:00
4,elonmusk,#SoBrave,97578,4224,2022-10-29 17:36:31+00:00
5,elonmusk,"Finally, the truth that carbs are amazing can be said on this platform! 
#FreeSpeech",450103,37183,2022-10-29 17:35:45+00:00
6,elonmusk,Fresh baked bread &amp; pastries are some of the great joys of life,329629,21399,2022-10-29 17:33:16+00:00
7,elonmusk,"@amasad Good point. 

Being able to select which version of Twitter you want is probably better, much as it would be for a movie maturity rating. 

The rating of the tweet itself could be self-selected, then modified by user feedback.",42143,2467,2022-10-29 07:08:42+00:00
8,elonmusk,@BillyM2k 🎯,58980,1960,2022-10-29 06:10:15+00:00
9,elonmusk,@WholeMarsBlog One of the best trolls ever 🤣🤣,114972,4781,2022-10-29 04:34:43+00:00
10,elonmusk,@cosminDZS Something like this makes sense,43876,1738,2022-10-29 02:19:54+00:00
11,elonmusk,@greg16676935420 Ace reporting by @cnbc 🤣🤣,62858,2642,2022-10-29 00:21:49+00:00
12,elonmusk,"To be super clear, we have not yet made any changes to Twitter’s content moderation policies https://t.co/k4guTsXOIu",221048,20233,2022-10-29 00:14:33+00:00
13,elonmusk,@BillyM2k 🤣💯,6653,311,2022-10-29 00:11:43+00:00
14,elonmusk,@Rainmaker1973 Sorry about that. Fixing as fast as possible!,9863,390,2022-10-28 23:13:20+00:00
15,elonmusk,@westcoastbill 🤣,19792,576,2022-10-28 23:06:32+00:00
16,elonmusk,@EvaFoxU 🤣🤣,18515,352,2022-10-28 22:49:12+00:00
17,elonmusk,Ligma Johnson had it coming 🍆 💦 https://t.co/CgjrOV5eM2,612693,58963,2022-10-28 21:33:03+00:00
18,elonmusk,@MikhailaFuller @jordanbpeterson Anyone suspended for minor &amp; dubious reasons will be freed from Twitter jail,120903,17612,2022-10-28 21:21:33+00:00
19,elonmusk,Comedy is now legal on Twitter,2167316,239876,2022-10-28 21:16:42+00:00
20,elonmusk,@RpsAgainstTrump Ye’s account was restored by Twitter before the acquisition. They did not consult with or inform me.,42535,2101,2022-10-28 19:10:55+00:00
21,elonmusk,"Twitter will be forming a content moderation council with widely diverse viewpoints. 

No major content decisions or account reinstatements will happen before that council convenes.",590246,60965,2022-10-28 18:18:55+00:00
22,elonmusk,@slashdot !,31090,1617,2022-10-28 18:10:58+00:00
23,elonmusk,@skorusARK Cool!,20684,581,2022-10-28 18:09:54+00:00
24,elonmusk,@WeAreCanProud First I’ve heard,76827,3817,2022-10-28 13:08:13+00:00
25,elonmusk,🎶 let the good times roll 🎶,966052,93520,2022-10-28 12:09:02+00:00
26,elonmusk,@catturd2 I will be digging in more today,196668,12381,2022-10-28 11:41:12+00:00
27,elonmusk,the bird is freed,2401488,351461,2022-10-28 03:49:11+00:00
28,elonmusk,Falcon rockets to orbit as seen from LA https://t.co/r8L2SbLC3p,427046,31955,2022-10-28 01:50:49+00:00
29,elonmusk,@Gfilche @Twitter 🤣,10563,326,2022-10-27 21:45:47+00:00
30,elonmusk,@PeterSchiff 🤣 thanks,22983,552,2022-10-27 16:17:39+00:00
31,elonmusk,@ZubyMusic Absolutely,51302,1355,2022-10-27 13:19:25+00:00
32,elonmusk,Dear Twitter Advertisers https://t.co/GMwHmInPAS,738818,113313,2022-10-27 13:08:00+00:00
33,elonmusk,@BillyM2k 👻,25694,971,2022-10-27 02:32:48+00:00
34,elonmusk,Meeting a lot of cool people at Twitter today!,286794,13440,2022-10-26 21:39:32+00:00
35,elonmusk,Entering Twitter HQ – let that sink in! https://t.co/D68z4K2wq7,1359567,188487,2022-10-26 18:45:58+00:00
36,elonmusk,@dogeofficialceo @mtaibbi 🤣💪,4834,236,2022-10-26 17:18:30+00:00
37,elonmusk,@mtaibbi 🤣,2974,119,2022-10-26 17:14:07+00:00
38,elonmusk,@ARodTV Definitely closer to citizen journalism – local news orgs are under-appreciated &amp; should get way more prominence on Twitter,12802,869,2022-10-26 17:05:16+00:00
39,elonmusk,@sandyleevincent Nobody bats 1000 🤷‍♂️,3469,143,2022-10-26 15:42:50+00:00
40,elonmusk,A beautiful thing about Twitter is how it empowers citizen journalism – people are able to disseminate news without an establishment bias,371205,46705,2022-10-26 15:27:40+00:00
41,elonmusk,@teslaownersSV I’m a big fan of citizen journalism!,6604,549,2022-10-26 15:22:43+00:00
42,elonmusk,“According to unnamed sources close to the matter who wish to remain anonymous” 🤣🤣,86959,6043,2022-10-26 14:50:58+00:00
43,elonmusk,"“The New York Times has emerged as a new, chaotic actor in global politics. The paper’s interventions in some of the world’s most combustible conflicts have sometimes been a boon, but their messaging has also caused problems.”",127335,12909,2022-10-26 14:48:22+00:00
44,elonmusk,@dontreadonmeow @nytimes 🤣🔥,4046,153,2022-10-26 14:41:26+00:00
45,elonmusk,@PPathole @Twitter Yes!,15229,508,2022-10-26 07:27:48+00:00
46,elonmusk,@westcoastbill 30% is a lot,3325,169,2022-10-26 06:32:58+00:00
47,elonmusk,@eldsjal Concerning,18291,740,2022-10-26 06:28:34+00:00
48,elonmusk,Works on any moving land object https://t.co/Xu4qKJW4D9,53354,4296,2022-10-25 23:26:39+00:00
49,elonmusk,@chazman @lexfridman Fasting rocks,5623,316,2022-10-25 13:54:37+00:00
50,elonmusk,@VitalikButerin @balajis @zengjiajun_eth Had to do a double-take. This is the first non-fake Vitalik tweet I’ve seen in a while.,11834,585,2022-10-25 13:24:27+00:00
51,elonmusk,@dogeofficialceo @DirtyTesLa @rocobasilisk @SwipeWright 💯,3897,186,2022-10-25 09:16:17+00:00
52,elonmusk,@garyblack00 @SawyerMerritt One man’s hedge is another man’s shrub,4986,257,2022-10-25 08:30:54+00:00
53,elonmusk,@muskQu0tes Yup,9596,366,2022-10-25 08:19:58+00:00
54,elonmusk,@emollick True,4868,247,2022-10-25 08:11:11+00:00
55,elonmusk,@elon_wisdom Too much respect for authority inhibits innovation,41033,4194,2022-10-25 08:01:29+00:00
56,elonmusk,@DirtyTesLa @rocobasilisk @SwipeWright 💪,1610,50,2022-10-25 07:55:19+00:00
57,elonmusk,@stevenmarkryan @EmmetPeppers @heydave7 @TwitterSpaces @YouTube 😉,5431,267,2022-10-25 04:35:20+00:00
58,elonmusk,What lesson took you the longest to unlearn?,160374,12668,2022-10-25 04:33:08+00:00
59,elonmusk,διαλεκτική,103769,7430,2022-10-25 01:25:34+00:00
60,elonmusk,"@SwipeWright Twitter should be as broadly inclusive as possible, serving as a fair forum for lively, even if occasionally rancorous, debate between widely divergent beliefs.",26123,3436,2022-10-25 01:15:05+00:00
61,elonmusk,@MuskUniversity Absolutely necessary,2348,143,2022-10-24 22:45:37+00:00
62,elonmusk,@DavidSacks @MarcBodnick !,2366,105,2022-10-24 21:39:38+00:00
63,elonmusk,@realchrisrufo @MaxBoot 🤣🤣,13392,572,2022-10-24 21:38:44+00:00
64,elonmusk,@MuskUniversity Important,9645,500,2022-10-24 20:49:20+00:00
65,elonmusk,@MuskUniversity Yup,1639,80,2022-10-24 20:46:26+00:00
66,elonmusk,@DavidSacks Exactly!,2551,121,2022-10-24 20:41:15+00:00
67,elonmusk,@SawyerMerritt 🤣,12565,465,2022-10-24 20:40:14+00:00
68,elonmusk,"@VinnyLingham Yeah, doesn’t make sense",26264,1285,2022-10-24 18:45:00+00:00
69,elonmusk,@MuskUniversity Good thread,2700,137,2022-10-24 13:49:02+00:00
70,elonmusk,@RenataKonkoly @spideycyp_155 @SquawkCNBC @Kasparov63 I only play crazy 9’s,1981,99,2022-10-24 13:42:48+00:00
71,elonmusk,"@MarcusHouse @LordofEa @kerrikgray @chicago_glenn @Tesla @teslaownersSV @dvorahfr @TonyadeVitti @SpaceX @SirineAti That’s the plan, unless it is damaged in testing. What really matters is that ship &amp; booster production line is spooling up. Also, each new ship &amp; booster has incremental design improvements.",3886,241,2022-10-24 13:39:48+00:00
72,elonmusk,"@ChananBos @SquawkCNBC @Kasparov63 Yeah, I’m back to spare bedroom /couch surfing at friend’s houses in Silicon Valley, which I did for about a decade.

Frankly, I like it this way, as I get to see my friends, who I love, more often.",5979,287,2022-10-24 13:35:53+00:00
73,elonmusk,"@spideycyp_155 @SquawkCNBC @Kasparov63 I did as a child, but found it to be too simple to be useful in real life: a mere 8 by 8 grid, no fog of war, no technology tree, no random map or spawn position, only 2 players, both sides exact same pieces, etc.

Polytopia addresses these limitations.",3720,272,2022-10-24 13:28:44+00:00
74,elonmusk,"@SquawkCNBC @Kasparov63 And I don’t even own a house, let alone a “mansion”, you douche",8786,633,2022-10-24 13:19:56+00:00
75,elonmusk,"@SquawkCNBC @Kasparov63 While it’s true that Kasparov is almost as good at playing chess as my iPhone, he is otherwise an idiot",15667,1886,2022-10-24 13:13:07+00:00
76,elonmusk,@spideycyp_155 @Teslarati @Writer_01001101 @FedorovMykhailo Yes,1720,79,2022-10-24 12:58:14+00:00
77,elonmusk,@dogeofficialceo @gunsnrosesgirl3 @DolphinDroneDom 🤣,1589,67,2022-10-24 12:51:35+00:00
78,elonmusk,"@gunsnrosesgirl3 @DolphinDroneDom How exciting to be alive at the same time as the largest animal ever! 

Wild that Blue whales are bigger than the biggest dinosaur.",47255,2112,2022-10-24 12:48:28+00:00
79,elonmusk,@FedorovMykhailo @Teslarati @Writer_01001101 You’re most welcome,5234,222,2022-10-24 05:39:47+00:00
80,elonmusk,"@Teslarati @Writer_01001101 Before DoD even came back with an answer, I told @FedorovMykhailo that SpaceX would not turn off Starlink even if DoD refused to provide funding",11678,1094,2022-10-24 02:37:00+00:00
81,elonmusk,@LordofEa @kerrikgray @chicago_glenn @Tesla @teslaownersSV @dvorahfr @TonyadeVitti @SpaceX @SirineAti Absolutely!,10289,510,2022-10-23 22:36:41+00:00
82,elonmusk,@SKMorefield Interesting,10887,602,2022-10-23 16:58:01+00:00
83,elonmusk,@pcgamer Great game,36027,1276,2022-10-23 13:31:21+00:00
84,elonmusk,"Maybe it was a social media algorithm, not even people",60617,4408,2022-10-23 13:29:48+00:00
85,elonmusk,Think about who might have decided “The Current Thing” before accepting it,121261,13125,2022-10-23 13:26:21+00:00
86,elonmusk,"Who decides “The Current Thing?”
Real question. I don’t know.",122843,9543,2022-10-23 13:21:51+00:00
87,elonmusk,@andst7 Exactly. WaPo are such hypocrites.,17256,1393,2022-10-23 13:10:44+00:00
88,elonmusk,Neuralink show &amp; tell now on Nov 30,65659,5105,2022-10-23 12:19:22+00:00
89,elonmusk,@muskQu0tes @SpaceX Had to be done,11641,534,2022-10-23 12:11:12+00:00
90,elonmusk,@Gfilche @MartinViecha We’ve come a long way,10996,563,2022-10-23 01:41:03+00:00
91,elonmusk,"i know
|nothing|
is forever",217356,23315,2022-10-23 00:29:28+00:00
92,elonmusk,@BillyM2k @sakitechonline @DavidSacks 🤣💪,4084,160,2022-10-22 21:25:50+00:00
93,elonmusk,@michaelmalice @washingtonpost Good point 🤔,36886,1896,2022-10-22 20:24:41+00:00
94,elonmusk,@MuskUniversity This needs to change. Manufacturing is awesome!,19424,1330,2022-10-22 19:54:11+00:00
95,elonmusk,@muskQu0tes It will happen,23194,1102,2022-10-22 17:24:03+00:00
96,elonmusk,@DavidSacks @TheAtlantic @davidfrum @EliotACohen Hear! Hear!,11627,711,2022-10-22 16:00:09+00:00
97,elonmusk,"@ruthbenghiat Why are you perpetuating propaganda concocted by the oil &amp; gas industry to distract you from the 6 trillion dollars per *year* of subsidies those companies receive?
https://t.co/XZxDJAPE9a",24510,2169,2022-10-22 15:06:32+00:00
98,elonmusk,@xuanyiman @stillgray @DavidSacks 😋,1715,70,2022-10-22 07:01:37+00:00
99,elonmusk,"@stillgray @DavidSacks Switzerland &amp; Belgium have great chocolate, but I do also love eccentric British &amp; Irish artisanal sweet shops",2029,107,2022-10-22 07:00:32+00:00
100,elonmusk,@PhreshNic @MedvedevRussiaE @trussliz 🤣,1491,55,2022-10-22 06:43:06+00:00
101,elonmusk,@DavidSacks Good thread,3780,265,2022-10-22 00:39:36+00:00
102,elonmusk,"@teslaownersSV Next week. It’s actually a major release, so a lot more internal testing is needed before going to public beta.",8593,556,2022-10-21 22:43:38+00:00
103,elonmusk,@BillyM2k @DavidSacks 🤣💯,5570,241,2022-10-21 22:37:45+00:00
104,elonmusk,@ksadjadpour Cool,13916,865,2022-10-21 22:33:47+00:00
105,elonmusk,"@DavidSacks 🤣🤣 

Although there could be more R&amp;D in candy tbh. Feels like there hasn’t been much improvement in decades.",27092,1041,2022-10-21 22:20:58+00:00
106,elonmusk,@justindross 🤣,32644,976,2022-10-21 18:38:58+00:00
107,elonmusk,"@WholeMarsBlog Headline is misleading. Starlink can obviously offer far more robust positioning than GPS, as it will have ~1000X more satellites over time. 

Not all will have line of sight to users, but still &gt;10X GPS &amp; far stronger signal.

Just not today’s problem.",9847,762,2022-10-21 18:25:12+00:00
108,elonmusk,@eigenrobot One of my favorite conspiracy theories is that the world is actually 80% men,2758,135,2022-10-21 17:01:53+00:00
109,elonmusk,@ChessProblem un ass ailable logic!,2812,130,2022-10-21 13:22:33+00:00
110,elonmusk,@teslaownersSV Yes,4917,184,2022-10-21 07:25:23+00:00
111,elonmusk,@LifeboatHQ https://t.co/j4ZHlazoPa,1308,90,2022-10-21 06:42:17+00:00
112,elonmusk,"@LifeboatHQ You’re right. Eventually, we all run out of time. https://t.co/GyXk9uZLIW",2154,122,2022-10-21 06:39:47+00:00
113,elonmusk,"Only Giga Berlin can make these colors, as paint shop was specially built to apply many fine layers of paint, giving it complexity not otherwise possible https://t.co/Htis0LfRzV",44681,3033,2022-10-21 06:34:33+00:00
114,elonmusk,"@teslaownersSV @BillyM2k Varies a lot. Tesla &amp; SpaceX are in good positions, but many other companies are not. 

Recessions do have a silver lining in that companies that shouldn’t exist stop existing.",3638,337,2022-10-21 06:11:05+00:00
115,elonmusk,"@RenataKonkoly @ThorstenBasch @spideycyp_155 @BillyM2k Those who want Putin removed are laboring under the misapprehension that whoever replaces him will be more amenable to peace or western philosophy, but I think this is unlikely – the Kremlin is not the Nice Guy Olympics",5425,506,2022-10-21 05:54:23+00:00
116,elonmusk,"@ThorstenBasch @spideycyp_155 @BillyM2k Russia overrunning Ukraine would destabilize the entire region, perhaps the world",1483,102,2022-10-21 05:45:12+00:00
117,elonmusk,"@spideycyp_155 @BillyM2k If Russia faced calamitous defeat in conventional warfare for something as strategically critical as Crimea, the probability of using nuclear weapons is high",1460,124,2022-10-21 05:12:37+00:00
118,elonmusk,@jamesplloyd @SpaceX I do. Yes.,2045,78,2022-10-21 05:09:52+00:00
119,elonmusk,"@spideycyp_155 @BillyM2k Still very unlikely, but this is the closest we’ve been since Cuba in ‘62",1581,101,2022-10-21 05:06:29+00:00
120,elonmusk,"@teslaownersSV @BillyM2k Just guessing, but probably until spring of ‘24",5052,557,2022-10-21 04:53:50+00:00
121,elonmusk,@BillyM2k It sure would be nice to have one year without a horrible global event,50048,3144,2022-10-21 04:51:37+00:00
122,elonmusk,@AndrewPerpetua “Brutal for both sides” will be a common phrase in the months to come,1569,90,2022-10-21 04:42:02+00:00
123,elonmusk,https://t.co/WqGm6InNTp,239207,25121,2022-10-21 03:31:20+00:00
124,elonmusk,@bgarlinghouse No way,20213,2837,2022-10-21 02:57:24+00:00
125,elonmusk,@SamitoFPS Maybe,3137,154,2022-10-21 02:00:08+00:00
126,elonmusk,@NewsfromScience Certainly warrants closer scrutiny,16215,1303,2022-10-21 01:50:54+00:00
127,elonmusk,@NikLentz @JenniferJJacobs @SalehaMohsin @BloombergTV 💯🤣,3943,240,2022-10-21 01:11:17+00:00
128,elonmusk,"@MedvedevRussiaE @trussliz Btw, how’s it going in Bakhmut?",15381,754,2022-10-20 21:20:40+00:00
129,elonmusk,@MedvedevRussiaE @trussliz Pretty good troll tbh,39210,1346,2022-10-20 21:12:17+00:00
130,elonmusk,@Alan_McGuinness *humour,4786,127,2022-10-20 21:07:30+00:00
131,elonmusk,@ilyasut I couldn’t agree more 😜,2430,101,2022-10-20 20:37:33+00:00
132,elonmusk,@Alan_McGuinness British humor is the best,58476,1981,2022-10-20 20:36:51+00:00
133,elonmusk,@PPathole @EvaFoxU @DavidSacks Compromise is overwhelmingly the most likely outcome – just a question of how much death &amp; destruction happens before then,4725,390,2022-10-20 17:42:06+00:00
134,elonmusk,@gaborgurbacs @EvaFoxU @DavidSacks That should be the nature of the debate,1400,72,2022-10-20 17:39:15+00:00
135,elonmusk,"@EvaFoxU @DavidSacks Most probable outcome by far is a horrible war of attrition that destroys Ukraine &amp; severely damages Russia, with massive body count on both sides.

And, in the end, the same outcome. 

So why?",3218,265,2022-10-20 17:32:08+00:00
136,elonmusk,@DavidSacks Exactly,26345,1101,2022-10-20 16:43:40+00:00
137,elonmusk,Congrats to @SpaceX team on 48th launch this year! Falcon 9 now holds record for most launches of a single vehicle type in a year.,78311,5468,2022-10-20 16:31:46+00:00
138,elonmusk,@SpaceX 🎯,17096,669,2022-10-20 16:04:33+00:00
139,elonmusk,@romanhelmetguy 💪,8212,341,2022-10-20 11:22:35+00:00
140,elonmusk,@Neuro_Skeptic Same,6629,286,2022-10-20 09:26:29+00:00
141,elonmusk,@marenkahnert @jasondebolt Exactly,1973,79,2022-10-20 07:57:25+00:00
142,elonmusk,"@Teslarati @13ericralph31 SpaceX has more active satellites in orbit than rest of Earth combined, tracking to double rest of Earth soon",16602,1459,2022-10-20 07:30:52+00:00
143,elonmusk,"@jasondebolt The media reports with great fanfare my predictions that are late, but rarely those that come early",23652,1569,2022-10-20 06:52:01+00:00
144,elonmusk,@jakebrowatzke @andyjayhawk 🤣,1998,79,2022-10-20 06:38:51+00:00
145,elonmusk,@Teslarati @JohnnaCrider1 Accelerating sustainable energy is our primary mission,18546,1458,2022-10-20 00:10:14+00:00
146,elonmusk,"@westcoastbill Will require truly exceptional execution, but it is possible",11051,743,2022-10-19 22:33:20+00:00
147,elonmusk,"I will not let you down, no matter what it takes",402947,36009,2022-10-19 18:46:58+00:00
148,elonmusk,@DirtyTesLa Awesome,2394,88,2022-10-19 18:13:39+00:00
149,elonmusk,"We even did a Starlink video call on one airplane aloft to Starlink on another, far away, airplane aloft and it worked perfectly with no lag!",38907,2156,2022-10-19 17:02:48+00:00
150,elonmusk,Vox Populi Vox Dei,54820,5809,2022-10-19 16:59:23+00:00
151,elonmusk,"@chazman @aelluswamy Several major architectural upgrades in 10.69.3, so it’s much more than a point release, but we’re sticking with 10.69 just cause haha",7084,472,2022-10-19 13:45:30+00:00
152,elonmusk,@BillyM2k @atrupar Sounds fair,5364,214,2022-10-19 04:38:38+00:00
153,elonmusk,@BillyM2k Definitely giving me kid naming ideas 🤣,43858,1362,2022-10-19 03:59:49+00:00
154,elonmusk,And … sold out!,58964,1800,2022-10-19 03:58:56+00:00
155,elonmusk,Internet in airplanes will feel same as if you were accessing Internet at home! https://t.co/Mfl2ixYnJH,100604,8278,2022-10-19 03:37:07+00:00
156,elonmusk,"28,700 bottles of exquisite Burnt Hair perfume already sold! 

Only 1,300 left of this unique, limited edition, collector’s item. https://t.co/Gh2Zg7B5qX",47173,3401,2022-10-19 01:42:18+00:00
157,elonmusk,@cb_doge @alex_avoigt We’re working on it. Hope to release something next week.,2909,183,2022-10-19 00:07:43+00:00
158,elonmusk,"@alex_avoigt No money from DoD, but several other countries, orgs &amp; individuals are paying for ~11k/25k terminals (thanks!).

SpaceX is losing ~$20M/month due to unpaid service &amp; costs related to enhanced security measures for cyberwar defense, but we’ll keep doing it (sigh).",33336,2801,2022-10-19 00:06:14+00:00
159,elonmusk,"@atrupar Smart? Maybe. 
Does dumb stuff? Definitely!",12415,586,2022-10-18 20:27:31+00:00
160,elonmusk,@balajis True,2673,101,2022-10-18 19:11:02+00:00
161,elonmusk,@HassanNatha https://t.co/jxA4stwf1d,4133,185,2022-10-18 15:49:06+00:00
162,elonmusk,@TonyadeVitti 🤣,4079,103,2022-10-18 15:45:12+00:00
163,elonmusk,@520AlRihla Exactly,1531,64,2022-10-18 15:12:00+00:00
164,elonmusk,@tesla4k 🤣,1980,46,2022-10-18 15:07:38+00:00
165,elonmusk,"@larryronaldpar1 Should I make weapons? Ideally, not.",3871,204,2022-10-18 15:07:11+00:00
166,elonmusk,@TeslaHype An easy prediction,4874,160,2022-10-18 15:03:28+00:00
167,elonmusk,"Drone War I
https://t.co/erVME0CbbN",56457,5352,2022-10-18 14:35:49+00:00
168,elonmusk,@FLVoiceNews https://t.co/CCaYpontFG,13116,763,2022-10-18 13:12:43+00:00
169,elonmusk,@teslaownersSV (Actually) Smart Summon is almost done,15880,785,2022-10-18 06:11:12+00:00
170,elonmusk,@Teslaconomics Yes,12230,571,2022-10-18 02:19:08+00:00
171,elonmusk,@stoolpresidente I have a plan,64825,2332,2022-10-18 01:52:35+00:00
172,elonmusk,@TeslaAIBot @SpaceX @Tesla Thanks Optimus :),18696,706,2022-10-18 00:27:18+00:00
173,elonmusk,"@SawyerMerritt @SpaceX To be precise, 25,300 terminals were sent to Ukraine, but, at present, only 10,630 are paying for service",9324,744,2022-10-17 19:57:10+00:00
174,elonmusk,@SawyerMerritt @SpaceX SpaceX has already withdrawn its request for funding,57329,3210,2022-10-17 19:52:57+00:00
175,elonmusk,"@starrski71 @RenataKonkoly @EvaFoxU @kadubai11 @spideycyp_155 Wrong analogy. America also had a humiliating withdrawal from Afghanistan. No one in America sees that country as part of America.

Crimea *is* seen as a crucial part of Russia by Russia, much as Hawaii is seen as a crucial part of America.",8727,887,2022-10-17 14:03:13+00:00
176,elonmusk,@EnjoyerFive 🎯🤣,13802,326,2022-10-17 13:52:08+00:00
177,elonmusk,@PPathole @spideycyp_155 Probably not,2296,91,2022-10-17 13:48:51+00:00
178,elonmusk,@zerohedge Practice makes perfect …,45801,2720,2022-10-17 13:47:55+00:00
179,elonmusk,"@RenataKonkoly @EvaFoxU @kadubai11 @spideycyp_155 Russia has been punched in the nose and forced to retreat many times by Ukraine. 

But what you don’t want to do is give Russia a choice of total, humiliating defeat or nukes – then the probability of them using nukes is high.",3436,240,2022-10-17 13:46:13+00:00
180,elonmusk,"@kadubai11 @spideycyp_155 Obviously many disagree with this logic, but what do they think is their probability of being wrong about WW3. 

If they say 0%, they are utterly dangerous fools.",4946,378,2022-10-17 13:41:33+00:00
181,elonmusk,"@kadubai11 @spideycyp_155 But, hey, look on the bright side! At least Russia doesn’t get Crimea in that scenario, so you can be comforted by that thought, while watching the mushroom clouds rise.",11686,997,2022-10-17 13:30:01+00:00
182,elonmusk,"@kadubai11 @spideycyp_155 If Russia faces destruction of their army and utter defeat by NATO, they will use nukes, then NATO will respond with nukes and civilization is over",9826,1194,2022-10-17 13:25:25+00:00
